 
 6-1      1.000000        0.1105997E-01  
 6-1     0.9784690        0.8497577E-02  
 6-2      1.000905        0.6402052E-02  
 6-2      1.003886        0.6740925E-02  
 6-3      1.004434        0.4704014E-02  
 6-3     0.9912620        0.7088284E-02  
 6-5     0.9583716        0.1936269E-01  
 6-5     0.9526531        0.5722320E-01  
 6-6     0.9571992        0.4053718E-01  
 6-6     0.9292402        0.3189859E-01  
 6-7      1.010170        0.4760144E-02  
 6-7      1.009385        0.3400463E-02  
 6-9      1.007680        0.3455941E-02  
 6-9     0.9845239        0.7351549E-02  
 6-10    0.9604744        0.1028101E-01  
 6-10    0.9690909        0.8995578E-02  
 7-1      1.007357        0.3410780E-02  
 7-1     0.9847620        0.6634939E-02  
 7-2      1.015764        0.4980500E-02  
 7-2     0.9538417        0.2808532E-01  
 7-3      1.034069        0.6524174E-02  
 7-3     0.9871734        0.9391343E-02  
 7-6      1.013064        0.3057434E-02  
 7-6     0.9828681        0.1791312E-01  
 7-7     0.9760766        0.9416728E-02  
 7-7     0.9970930        0.1272018E-01  
 7-9     0.9867299        0.9364891E-02  
 7-9      1.009219        0.5281453E-02  
 7-10    0.9825581        0.1271413E-01  
 7-10    0.9799904        0.9371378E-02  
